GeneSymbol	n	Tissues
992	GLS2	2	1
993	GNB5	2	2
994	GOLGA8B	2	2
995	GPS1	2	2
996	GPX2	2	1
997	GRAMD1C	2	1
998	H2AFY2	2	2
999	HEPH	2	2
1000	HSPA4L	2	2
1001	IGLL5	2	1
1002	IKZF2	2	1
1003	IL17RE	2	1
1004	IL20RB	2	1
1005	IL7R	2	1
1006	IQCA1	2	1
1007	IQCG	2	2
1008	ITGAL	2	1
1009	ITGB4	2	1
1010	ITGBL1	2	1
1011	JCHAIN	2	1
1012	KLK7	2	1
1013	L1CAM	2	2
1014	LAMA3	2	1
1015	LGR4	2	2
1016	LIG1	2	1
1017	LINC01184	2	1
1018	LRFN5	2	1
1019	LRIG3	2	2
1020	LRP1B	2	2
1021	LRRC37B	2	1
1022	LTBP2	2	1
1023	LYNX1	2	1
1024	LYPD6B	2	1
1025	MDK	2	1
1026	MGLL	2	2
1027	MLLT4	2	2
1028	MST1L	2	1
1029	MST1R	2	1
1030	MUC15	2	1
1031	MYB	2	1
1032	MYO6	2	1
1033	NFASC	2	1
1034	NFIB	2	2
1035	NFKBIZ	2	1
1036	NIPSNAP1	2	1
1037	OSBP2	2	1
1038	OSBPL5	2	1
1039	OVOS2	2	2
1040	PABPC1L	2	1
1041	PAK3	2	1
1042	PAK4	2	1
1043	PCNX2	2	1
1044	PECR	2	1
1045	PHF20L1	2	2
1046	PHLDB1	2	2
1047	PLAT	2	2
1048	PLCH2	2	1
1049	PLD1	2	2
1050	POSTN	2	1
1051	PPFIA1	2	2
1052	PPM1N	2	1
1053	PPP1R13L	2	1
1054	PPP1R18	2	1
1055	PPP1R9A	2	1
1056	PTPRU	2	1
1057	PVT1	2	1
1058	RAPGEFL1	2	1
1059	RARG	2	1
1060	RELN	2	1
1061	RGL2	2	2
1062	RGMA	2	1
1063	RGN	2	2
1064	RHPN2	2	1
1065	RUNX2	2	1
1066	SEMA4G	2	1
1067	SERHL2	2	1
1068	SEZ6L2	2	1
1069	SH3D21	2	1
1070	SHROOM3	2	2
1071	SLC16A4	2	1
1072	SLC16A5	2	1
1073	SLC38A3	2	2
1074	SLC39A6	2	2
1075	SLC4A3	2	2
1076	SLC5A6	2	1
1077	SMPDL3B	2	1
1078	SPAG9	2	2
1079	SPINT2	2	2
1080	SPIRE1	2	2
1081	ST8SIA1	2	1
1082	SYNM	2	2
1083	TAC1	2	2
1084	TARSL2	2	2
1085	TBC1D4	2	2
1086	TEK	2	2
1087	TGFBI	2	1
1088	TMEM98	2	1
1089	TMPRSS13	2	1
1090	TMPRSS2	2	1
1091	TRIM16	2	1
1092	TRIM2	2	2
1093	TSC2	2	2
1094	TSPAN5	2	2
1095	TSPOAP1	2	1
1096	TUFT1	2	2
1097	TYW1B	2	2
1098	VPS39	2	2
1099	VTCN1	2	1
1100	ZNF33B	2	2
1101	ZNF431	2	2
1102	ZNF692	2	1
1103	ZNF827	2	2
1104	ZNF844	2	2
1105	NDUFAF7	2	2
1106	ANKRD29	2	1
1107	TRA2A	2	1
1108	CD276	2	1
1109	DHX57	2	1
1110	DIS3L	2	1
1111	ERGIC1	2	1
1112	ESRRG	2	1
1113	FOXRED1	2	1
1114	GIT2	2	1
1115	GPAA1	2	1
1116	KCTD10	2	1
1117	KCTD9	2	1
1118	KIAA0430	2	1
1119	KLHL3	2	1
1120	MAP2K3	2	1
1121	MCM2	2	1
1122	MFSD1	2	1
1123	PPP6R3	2	1
1124	PTCD3	2	1
1125	PTPRE	2	1
1126	RTEL1	2	1
1127	SEMA6D	2	1
1128	SHPRH	2	1
1129	SRPK1	2	1
1130	STXBP4	2	1
1131	ACTR10	2	1
1132	ADGRA3	2	1
1133	ALG3	2	1
1134	ANKRD12	2	1
1135	ANKZF1	2	1
1136	ASCC1	2	1
1137	ATG4A	2	1
1138	ATG4D	2	1
1139	ATP5A1	2	1
1140	ATP6AP1	2	1
1141	CD151	2	1
1142	DZIP3	2	1
1143	EEF1B2	2	1
1144	ELAC2	2	1
1145	ELOVL1	2	2
1146	EOGT	2	1
1147	ETF1	2	1
1148	FCF1	2	1
1149	FOCAD	2	1
1150	GANAB	2	1
1151	KBTBD12	2	1
1152	KIAA1109	2	1
1153	LANCL1	2	1
1154	LARP1	2	1
1155	LGMN	2	1
1156	MCM4	2	1
1157	MERTK	2	1
1158	METTL14	2	1
1159	MITF	2	1
1160	MTRR	2	1
1161	NAA10	2	1
1162	NAA40	2	1
1163	NAA50	2	1
1164	NEDD1	2	1
1165	NFAT5	2	1
1166	PEX1	2	1
1167	PLA1A	2	1
1168	PLOD3	2	1
1169	POLR1A	2	1
1170	POMGNT1	2	1
1171	RARS	2	1
1172	RBM3	2	1
1173	RFC1	2	1
1174	RPS3A	2	1
1175	RPUSD1	2	1
1176	RUVBL2	2	1
1177	SIDT2	2	1
1178	SMG1	2	1
1179	TARDBP	2	1
1180	TMTC3	2	1
1181	TSR1	2	1
1182	UBE2N	2	1
1183	WDR31	2	1
1184	WSB2	2	1
1185	WWC2	2	1
1186	XPOT	2	1
1187	ZNF330	2	1
1188	CACNB2	2	1
1189	CPEB4	2	1
1190	PPP2R1B	2	1
1191	RUBCN	2	1
1192	CLCN3	2	1
1193	EYA1	2	1
1194	FKRP	2	1
1195	MAST2	2	1
1196	NMRK2	2	1
1197	SUGP2	2	1
1198	TUBA4A	2	1
1199	XBP1	2	1
1200	ABCB8	2	1
1201	ABCF1	2	1
1202	ABR	2	1
1203	AC138969.4	2	1
1204	ACSL4	2	1
1205	ADAM9	2	1
1206	ADGRE5	2	1
1207	ADH5	2	1
1208	AFF1	2	1
1209	AGK	2	1
1210	AGO2	2	1
1211	AGPAT5	2	1
1212	AIFM1	2	1
1213	AKAP1	2	1
1214	ALDH4A1	2	1
1215	ANKRD54	2	1
1216	ANO10	2	1
1217	AP3D1	2	1
1218	ARF4	2	1
1219	ARID1B	2	1
1220	ARMC1	2	1
1221	ARMC8	2	1
1222	ARPP19	2	1
1223	ART3	2	1
1224	ASH2L	2	1
1225	ASNS	2	1
1226	ASPH	2	1
1227	ASUN	2	1
1228	ATE1	2	1
1229	ATG13	2	1
1230	ATP11A	2	1
1231	ATP2B1	2	1
1232	ATP8A1	2	1
1233	ATP9B	2	1
1234	ATRNL1	2	2
1235	ATXN2	2	1
1236	B4GALT6	2	1
1237	BBX	2	1
1238	BDP1	2	1
1239	BECN1	2	1
1240	BPNT1	2	1
1241	BZW2	2	1
1242	C11orf49	2	1
1243	C12orf4	2	1
1244	C1orf131	2	1
1245	C20orf24	2	1
1246	C8orf58	2	1
1247	CAB39L	2	2
1248	CACNB1	2	1
1249	CAPN1	2	1
1250	CAPZB	2	1
1251	CASD1	2	1
1252	CCAR1	2	1
1253	CCDC43	2	1
1254	CCDC88A	2	1
1255	CCT2	2	1
1256	CCT5	2	1
1257	CCT8	2	1
1258	CD163	2	2
1259	CD164	2	1
1260	CDC23	2	1
1261	CDH13	2	1
1262	CDK14	2	1
1263	CDK5RAP1	2	1
1264	CDK8	2	1
1265	CELF2	2	1
1266	CEP295	2	1
1267	CERS5	2	1
1268	CIAO1	2	1
1269	CIAPIN1	2	1
1270	CKAP2	2	1
1271	CLASP2	2	1
1272	CLCN6	2	1
1273	CLIP4	2	1
1274	CLN3	2	2
1275	CLTA	2	1
1276	CLTC	2	1
1277	CLUAP1	2	1
1278	CNOT1	2	1
1279	CNOT10	2	1
1280	COPS4	2	1
1281	COPS8	2	1
1282	COPZ1	2	1
1283	COX10	2	1
1284	CPSF2	2	1
1285	CRY2	2	1
1286	CSDE1	2	1
1287	CSF1R	2	1
1288	CTD-2554C21.2	2	2
1289	CTSB	2	1
1290	CUL5	2	1
1291	CXADR	2	1
1292	CYLD	2	1
1293	DAP	2	1
1294	DCUN1D2	2	1
1295	DCUN1D5	2	1
1296	DDX24	2	1
1297	DDX46	2	1
1298	DENND1A	2	1
1299	DENND5A	2	1
1300	DERA	2	1
1301	DGKA	2	1
1302	DGKG	2	1
1303	DHX36	2	1
1304	DNAAF5	2	1
1305	DNAJA3	2	1
1306	DPY19L1	2	1
1307	DPY19L2	2	1
1308	DRG1	2	1
1309	DYNC1I2	2	1
1310	DYRK1A	2	1
1311	ECH1	2	1
1312	EIF3E	2	1
1313	EIF3L	2	1
1314	EIF3M	2	1
1315	EIF4A1	2	1
1316	EIF4G1	2	1
1317	ELMO2	2	1
1318	ELP3	2	1
1319	EPG5	2	1
1320	ERC1	2	1
1321	EXD2	2	1
1322	EXOC6B	2	1
1323	EXOC7	2	1
1324	FAM208B	2	1
1325	FAM69A	2	1
1326	FARSA	2	1
1327	FBXO28	2	1
1328	FBXW11	2	1
1329	FCGR2A	2	1
1330	FCHSD2	2	1
1331	FGGY	2	1
1332	FHL1	2	1
1333	FLOT1	2	1
1334	FLOT2	2	1
1335	FOLR2	2	1
1336	FXR1	2	1
1337	G3BP1	2	1
1338	GAB3	2	1
1339	GABPB1	2	1
1340	GABRE	2	1
1341	GATB	2	1
1342	GCLC	2	1
1343	GFM2	2	1
1344	GK	2	1
1345	GNB1	2	1
1346	GNS	2	1
1347	GOLGB1	2	1
1348	GPI	2	1
1349	GPR137B	2	1
1350	GPRASP2	2	1
1351	GRB14	2	1
1352	GYG1	2	1
1353	GZF1	2	1
1354	HAT1	2	1
1355	HDAC6	2	1
1356	HERC4	2	1
1357	HIF1A	2	1
1358	HMBS	2	2
1359	HMCES	2	1
1360	HP1BP3	2	1
1361	HSPA8	2	1
1362	HSPG2	2	2
1363	IL6ST	2	1
1364	ILVBL	2	1
1365	IMMT	2	1
1366	INPP5K	2	1
1367	INTS9	2	1
1368	IPO11	2	1
1369	ITGA5	2	1
1370	ITPK1	2	1
1371	IVD	2	1
1372	KANK2	2	1
1373	KIAA1429	2	1
1374	KIF3A	2	1
1375	KIFC3	2	1
1376	KMT2A	2	1
1377	KMT2C	2	1
1378	KMT5B	2	1
1379	LARP1B	2	1
1380	LCLAT1	2	1
1381	LIG3	2	1
1382	LIN54	2	1
1383	LPCAT3	2	1
1384	MAD1L1	2	1
1385	MAEA	2	2
1386	MAGED1	2	1
1387	MAP4K4	2	1
1388	MBD5	2	1
1389	MDM1	2	1
1390	MED1	2	1
1391	MFN1	2	1
1392	MFSD11	2	1
1393	MFSD8	2	1
1394	MGEA5	2	1
1395	MIER1	2	1
1396	MLF1	2	1
1397	MLLT10	2	1
1398	MRAS	2	1
1399	MSH6	2	1
1400	MTDH	2	1
1401	MTF2	2	1
1402	MTMR10	2	1
1403	MTMR12	2	1
1404	MTMR4	2	1
1405	MYADM	2	1
1406	MYOCD	2	1
1407	NAA25	2	1
1408	NAA30	2	1
1409	NAGK	2	1
1410	NCBP1	2	1
1411	NCEH1	2	1
1412	NCOA1	2	1
1413	NCOA4	2	1
1414	NDFIP2	2	1
1415	NDUFA10	2	1
1416	NEK1	2	1
1417	NEK4	2	1
1418	NEMF	2	1
1419	NFATC1	2	1
1420	NFIA	2	1
1421	NFYC	2	1
1422	NKIRAS1	2	1
1423	NNT	2	1
1424	NPLOC4	2	1
1425	NUMA1	2	1
1426	NUP43	2	1
1427	NVL	2	1
1428	OGDH	2	1
1429	OPTN	2	1
1430	PAM	2	1
1431	PCCB	2	1
1432	PCID2	2	1
1433	PCMT1	2	1
1434	PDPK1	2	1
1435	PDXDC1	2	1
1436	PDZD2	2	1
1437	PGM3	2	1
1438	PGR	2	1
1439	PHB	2	1
1440	PHF20	2	1
1441	PHTF1	2	1
1442	PIGK	2	1
1443	PIGS	2	1
1444	PIK3R3	2	1
1445	PIK3R5	2	1
1446	PITPNA	2	1
1447	PKP4	2	1
1448	PLEKHB2	2	1
1449	PMM2	2	1
1450	PMPCA	2	1
1451	PNPO	2	1
1452	POC1B	2	1
1453	POLI	2	1
1454	POLK	2	1
1455	PPFIBP2	2	1
1456	PPM1B	2	1
1457	PPP2R5C	2	1
1458	PPP3CC	2	1
1459	PPP4R1	2	1
1460	PRCP	2	1
1461	PREB	2	1
1462	PRELID3B	2	1
1463	PRKAR2A	2	1
1464	PRMT7	2	1
1465	PRRC2B	2	1
1466	PSMA2	2	1
1467	PSMC3	2	1
1468	PSMD1	2	1
1469	PTPRJ	2	1
1470	PXK	2	1
1471	QARS	2	2
1472	QKI	2	1
1473	RAB2A	2	1
1474	RAB5B	2	1
1475	RABGGTA	2	1
1476	RAD51C	2	1
1477	RANBP3	2	1
1478	RAPH1	2	1
1479	RB1CC1	2	1
1480	RBM12	2	1
1481	RCSD1	2	1
1482	RELA	2	1
1483	REXO2	2	1
1484	RHOBTB3	2	1
1485	RNF121	2	1
1486	RNF13	2	1
1487	RNF14	2	1
1488	RNF31	2	1
1489	RNMT	2	1
1490	RPLP0	2	1
1491	RPRD1B	2	1
1492	RPS6KB2	2	1
1493	SBF2	2	1
1494	SCP2	2	1
1495	SERPINH1	2	1
1496	SF3B2	2	1
1497	SHMT2	2	1
1498	SHOC2	2	1
1499	SHQ1	2	1
1500	SLC1A4	2	1
1501	SLC22A5	2	1
1502	SLC25A17	2	1
1503	SLC38A2	2	1
1504	SLC39A9	2	1
1505	SLCO2A1	2	1
1506	SNX14	2	1
1507	SORD	2	1
1508	SORT1	2	1
1509	SRP54	2	1
1510	SRPX	2	1
1511	SS18	2	1
1512	ST3GAL3	2	1
1513	ST3GAL6	2	2
1514	ST3GAL6-AS1	2	1
1515	ST8SIA2	2	1
1516	STAG1	2	1
1517	STAT1	2	1
1518	STK33	2	1
1519	STXBP5	2	1
1520	SURF4	2	1
1521	TAPT1	2	1
1522	TBC1D5	2	1
1523	TBXAS1	2	1
1524	TEAD1	2	1
1525	TIMMDC1	2	1
1526	TLK2	2	1
1527	TM7SF3	2	1
1528	TMBIM1	2	1
1529	TMEM117	2	1
1530	TMEM14B	2	1
1531	TMX2	2	1
1532	TMX3	2	1
1533	TNS1	2	1
1534	TOPBP1	2	1
1535	TP53BP2	2	1
1536	TPD52L2	2	1
1537	TPM1	2	1
1538	TRIM35	2	1
1539	TRIM37	2	1
1540	TSC1	2	1
1541	TSN	2	1
1542	TTBK2	2	1
1543	TTC33	2	1
1544	TUBB6	2	1
1545	TUBG1	2	1
1546	TVP23C-CDRT4	2	1
1547	TXNRD2	2	1
1548	TYW1	2	1
1549	UBE2V1	2	2
1550	UBE2Z	2	1
1551	UBE4B	2	1
1552	UBR3	2	1
1553	USP13	2	1
1554	USP25	2	1
1555	USP46	2	1
1556	VAPB	2	1
1557	VPS13B	2	1
1558	VPS29	2	1
1559	VPS41	2	1
1560	VPS8	2	1
1561	VTA1	2	1
1562	WBSCR22	2	1
1563	YAF2	2	1
1564	YIPF5	2	1
1565	YWHAE	2	1
1566	ZCCHC11	2	1
1567	ZFAT	2	1
1568	ZFP62	2	1
1569	ZIK1	2	1
1570	ZNF527	2	1
1571	ZNF568	2	2
1572	ZSCAN32	2	1
1573	ZWILCH	2	1
1574	PZP	2	1
1575	NEB	2	1
1576	CHRDL2	2	1
1577	ALKBH6	2	1
1578	ZNF7	2	1
1579	PDE9A	2	2
1580	GPX3	2	1
1581	ZBTB7C	2	1
1582	ARNT2	1	1
1583	ACTG1	1	1
1584	ARL4A	1	1
1585	C12orf75	1	1
1586	COL9A3	1	1
1587	CTD-2370N5.3	1	1
1588	CYB5R3	1	1
1589	EGFL6	1	1
1590	EPB42	1	1
1591	FLNC	1	1
1592	IRF8	1	1
1593	ITIH3	1	1
1594	REEP6	1	1
1595	SCIN	1	1
1596	SGK2	1	1
1597	SVIL	1	1
1598	TMEM110-MUSTN1	1	1
1599	CYP20A1	1	1
1600	WDR35	1	1
1601	TMPRSS9	1	1
1602	ALDH1B1	1	1
1603	AMACR	1	1
1604	ATP8B2	1	1
1605	BTBD1	1	1
1606	CASK	1	1
1607	CLEC16A	1	1
1608	CMSS1	1	1
1609	COX16	1	1
1610	DDX49	1	1
1611	DOCK8	1	1
1612	DZANK1	1	1
1613	EHHADH	1	1
1614	EPS8	1	1
1615	FAM118B	1	1
1616	FBLN1	1	1
1617	FBLN5	1	1
1618	FEZ1	1	1
1619	HPCAL1	1	1
1620	IFT20	1	1
1621	KIF16B	1	1
1622	LPAR1	1	1
1623	MAPKAP1	1	1
1624	MATN2	1	1
1625	MINK1	1	1
1626	MPHOSPH6	1	1
1627	PDIA4	1	1
1628	PPIL2	1	1
1629	PRPF18	1	1
1630	QDPR	1	1
1631	RFWD2	1	1
1632	RIOK2	1	1
1633	RIT1	1	1
1634	RXFP1	1	1
1635	SAP30BP	1	1
1636	SAR1B	1	1
1637	SCARB2	1	1
1638	SFXN1	1	1
1639	SNHG16	1	1
1640	STRAP	1	1
1641	TCN2	1	1
1642	TCTEX1D2	1	1
1643	TMEM68	1	1
1644	TMEM94	1	1
1645	UBE2E2	1	1
1646	UBE2J2	1	1
1647	UNC13A	1	1
1648	UNC13B	1	1
1649	USP3-AS1	1	1
1650	VPS33A	1	1
1651	ZNF544	1	1
1652	ZNF548	1	1
1653	ZRANB3	1	1
1654	CPNE4	1	1
1655	NOSIP	1	1
1656	TRPC4	1	1
1657	G6PD	1	1
1658	VCAM1	1	1
1659	CMC2	1	1
1660	SGIP1	1	1
1661	TMEM198B	1	1
1662	ASMTL	1	1
1663	GLDC	1	1
1664	EIF4E1B	1	1
1665	GORASP1	1	1
1666	NCOA7	1	1
1667	ABHD8	1	1
1668	ACOT8	1	1
1669	ACVR1B	1	1
1670	AGBL5	1	1
1671	ALAS2	1	1
1672	AMPD2	1	1
1673	APBB2	1	1
1674	ARHGEF1	1	1
1675	ATP8A2	1	1
1676	BDH1	1	1
1677	BRMS1L	1	1
1678	C16orf52	1	1
1679	C17orf51	1	1
1680	C1QTNF9B	1	1
1681	CACNA1B	1	1
1682	CAMKK2	1	1
1683	CARF	1	1
1684	CARS	1	1
1685	CD55	1	1
1686	CDH18	1	1
1687	CECR2	1	1
1688	CHCHD4	1	1
1689	CHORDC1	1	1
1690	CMTM7	1	1
1691	COL24A1	1	1
1692	CRHR1	1	1
1693	CTD-2020K17.1	1	1
1694	CUL7	1	1
1695	DCUN1D4	1	1
1696	DHRS1	1	1
1697	DMTF1	1	1
1698	DNAJB14	1	1
1699	DNASE1	1	1
1700	DYNC1I1	1	1
1701	EFR3A	1	1
1702	EPB41L2	1	1
1703	FAM3C	1	1
1704	FAM76B	1	1
1705	FGFR1OP2	1	1
1706	FOXP1	1	1
1707	FRG1HP	1	1
1708	FRS3	1	1
1709	GABBR2	1	1
1710	GABRA1	1	1
1711	GALNT11	1	1
1712	GBA2	1	1
1713	GDA	1	1
1714	GFOD2	1	1
1715	GNAI2	1	1
1716	GNG2	1	1
1717	GPAT4	1	1
1718	GPR137C	1	1
1719	GRAMD1B	1	1
1720	GRK4	1	1
1721	GUCY1B3	1	1
1722	HAP1	1	1
1723	HMBOX1	1	1
1724	HMGXB4	1	1
1725	HSD11B1L	1	1
1726	JAZF1	1	1
1727	KCNQ5	1	1
1728	KLHDC10	1	1
1729	LDB2	1	1
1730	LILRB4	1	1
1731	LINC01006	1	1
1732	LINC01128	1	1
1733	LRCH2	1	1
1734	LRRC42	1	1
1735	LRRC49	1	1
1736	LRRC7	1	1
1737	LRRK1	1	1
1738	MAP2	1	1
1739	MPC1	1	1
1740	MRPL23	1	1
1741	NABP1	1	1
1742	NDEL1	1	1
1743	NECAB3	1	1
1744	NIM1K	1	1
1745	NRG4	1	1
1746	NUDCD3	1	1
1747	OARD1	1	1
1748	OCRL	1	1
1749	ORAOV1	1	1
1750	PACSIN2	1	1
1751	PCBP4	1	1
1752	PCDH7	1	1
1753	PCED1B-AS1	1	1
1754	PFKFB4	1	1
1755	PHF14	1	1
1756	PI4KB	1	1
1757	PID1	1	1
1758	PITPNM2	1	1
1759	PNPLA6	1	1
1760	POLR1D	1	1
1761	PPP1R16B	1	1
1762	PPP1R32	1	1
1763	PPP2R2B	1	1
1764	PRKCA	1	1
1765	PRKCE	1	1
1766	PTGR1	1	1
1767	PTPRD	1	1
1768	PYCRL	1	1
1769	RALYL	1	1
1770	RBCK1	1	1
1771	RBM33	1	1
1772	RGS7BP	1	1
1773	RIMBP2	1	1
1774	RNFT2	1	1
1775	RP11-1212A22.1	1	1
1776	RP11-252A24.2	1	1
1777	RP11-314N13.10	1	1
1778	RP11-504P24.3	1	1
1779	RPH3A	1	1
1780	SAV1	1	1
1781	SCN1A	1	1
1782	SCN8A	1	1
1783	SEMA6A	1	1
1784	SENP8	1	1
1785	SLC25A46	1	1
1786	SLC36A1	1	1
1787	SMIM14	1	1
1788	SNHG4	1	1
1789	SNRPC	1	1
1790	SNX10	1	1
1791	SOCS7	1	1
1792	SRD5A1	1	1
1793	STIM1	1	1
1794	STXBP1	1	1
1795	SYNGR3	1	1
1796	TCERG1L	1	1
1797	TCP11L2	1	1
1798	THAP9	1	1
1799	TK2	1	1
1800	TM9SF4	1	1
1801	TMEM229B	1	1
1802	TMEM241	1	1
1803	TMEM263	1	1
1804	TMEM91	1	1
1805	TOX2	1	1
1806	TRAPPC10	1	1
1807	TRIM36	1	1
1808	TTC3	1	1
1809	TTLL1	1	1
1810	TXNL1	1	1
1811	TYK2	1	1
1812	UBAC1	1	1
1813	UBAC2	1	1
1814	UNC119B	1	1
1815	USP32P1	1	1
1816	VSTM2A	1	1
1817	ZBTB38	1	1
1818	ZNF181	1	1
1819	ZNF33A	1	1
1820	ZNF653	1	1
1821	ZNF655	1	1
1822	ZNF766	1	1
1823	ZNF780B	1	1
1824	ZNF815P	1	1
1825	CCDC183	1	1
1826	ABHD11	1	1
1827	AK5	1	1
1828	APOC2	1	1
1829	B4GALNT4	1	1
1830	BNIPL	1	1
1831	CELF5	1	1
1832	CFAP44	1	1
1833	CTBP2	1	1
1834	CXCL17	1	1
1835	DCST1	1	1
1836	DUXAP8	1	1
1837	ERBB3	1	1
1838	FAM131B	1	1
1839	FAT2	1	1
1840	FRMD6	1	1
1841	HAPLN3	1	1
1842	IL12A	1	1
1843	KRT17	1	1
1844	LAMC3	1	1
1845	LY6E	1	1
1846	PHLDB3	1	1
1847	PRR4	1	1
1848	RAD54B	1	1
1849	RASAL1	1	1
1850	RBBP8	1	1
1851	RP11-321G12.1	1	1
1852	RP11-404F10.2	1	1
1853	ST6GALNAC5	1	1
1854	STRA6	1	1
1855	TRIM9	1	1
1856	UNC13D	1	1
1857	VWDE	1	1
1858	APBA2	1	1
1859	ART5	1	1
1860	ATG9B	1	1
1861	ATP13A4	1	1
1862	C14orf79	1	1
1863	CACNA1H	1	1
1864	CCDC158	1	1
1865	CCDC18-AS1	1	1
1866	CCDC88B	1	1
1867	CD96	1	1
1868	CDT1	1	1
1869	CHRNE	1	1
1870	CRABP1	1	1
1871	CRACR2A	1	1
1872	DLK2	1	1
1873	E2F5	1	1
1874	EPHA10	1	1
1875	EPHB1	1	1
1876	FBXL2	1	1
1877	GATA3-AS1	1	1
1878	GOLGA2P10	1	1
1879	JAML	1	1
1880	LMX1B	1	1
1881	NMRAL1	1	1
1882	NQO1	1	1
1883	NR1H2	1	1
1884	PDZD4	1	1
1885	PEX10	1	1
1886	PRDM1	1	1
1887	PTBP3	1	1
1888	QPRT	1	1
1889	RAB15	1	1
1890	RFX8	1	1
1891	RGS9	1	1
1892	RP11-495P10.1	1	1
1893	RP11-73M7.6	1	1
1894	SBDS	1	1
1895	SGCA	1	1
1896	SPAG8	1	1
1897	STAC2	1	1
1898	TMCO4	1	1
1899	TMEM191A	1	1
1900	TMEM87A	1	1
1901	TRAF4	1	1
1902	UBE2D4	1	1
1903	VGLL1	1	1
1904	WDR4	1	1
1905	CBWD2	1	1
1906	GALNT7	1	1
1907	LINS1	1	1
1908	MTHFD2L	1	1
1909	AATK	1	1
1910	ACP5	1	1
